time,price,size,brs,title,link
2017-08-09 07:38:00,2900.0,4100.0,5.0,5 br 4 bath SE Aurora for Rent,/apa/d/5-br-4-bath-se-aurora-for-rent/6217536422.html
2017-08-09 07:38:00,2900.0,3449.0,4.0,4 br 3 bath For Rent Centennial,/apa/d/4-br-3-bath-for-rent/6218858363.html
2017-08-09 07:38:00,2900.0,4235.0,4.0,4 br 3 bath for Rent in Littleton,/apa/d/4-br-3-bath-for-rent-in/6253503259.html
2017-08-09 07:38:00,2850.0,3729.0,4.0,4 Br 3 Bath Parker for Rent,/apa/d/4-br-3-bath-parker-for-rent/6246466006.html
2017-08-09 07:38:00,1600.0,1061.0,2.0,Cherry CREEK Glendale Gated community PRICE DROP,/apa/d/cherry-creek-glendale-gated/6256567475.html
2017-08-09 07:37:00,1625.0,1117.0,2.0,Double Master Apt With Smart Home FeaturesNew Appliances  Much More.,/apa/d/double-master-apt-with-smart/6238811282.html
2017-08-09 07:34:00,1633.0,1095.0,2.0,Designer pendant lighting Spacious 9 ceilings Minutes to downtown,/apa/d/designer-pendant-lighting/6246654915.html
2017-08-09 07:29:00,1100.0,750.0,2.0, Avail. NOW  2 BEDCLEAN QUIET EASY COMMUTE St. Anthonys,/apa/d/avail-now-2-bedclean-quiet/6249675676.html
2017-08-09 07:28:00,1100.0,750.0,2.0, Avail. NOW  2 BEDCLEAN QUIET EASY COMMUTE St. Anthonys,/apa/d/avail-now-2-bedclean-quiet/6249674849.html
2017-08-09 07:26:00,1100.0,750.0,2.0, Avail.  NOW 2 BEDCLEAN QUIET EASY COMMUTE St. Anthonys,/apa/d/avail-now-2-bedclean-quiet/6249675275.html
2017-08-09 07:25:00,1100.0,750.0,2.0, Avail. NOW 2 BEDCLEAN QUIET EASY COMMUTE St. Anthonys,/apa/d/avail-now-2-bedclean-quiet/6249676654.html
2017-08-09 07:23:00,1700.0,,2.0,Sunny 2 bed near DU,/apa/d/sunny-2-bed-near-du/6256547916.html
2017-08-09 07:20:00,1883.0,1089.0,2.0,WALK to Cherry Creek North Park INCLUDED Great PRICE,/apa/d/walk-to-cherry-creek-north/6256544314.html
2017-08-09 07:15:00,1265.0,776.0,1.0,Central Denver MINUTES to DTC Washer dryer in unit CATS ONLY,/apa/d/central-denver-minutes-to-dtc/6256537732.html
2017-08-09 07:15:00,1700.0,1100.0,2.0,Amazing condominium/ loft in Olde Town Arvada,/apa/d/amazing-condominium-loft-in/6222538155.html
2017-08-09 07:14:00,1534.0,1185.0,2.0,EuropeanStyle Fixtures and Faucets  OnSite Management Carpeting,/apa/d/european-style-fixtures-and/6225389176.html
2017-08-09 07:11:00,1199.0,694.0,1.0,Chic 1 brm Ready M/I Look and Lease Special What are you waiting for,/apa/d/chic-1-brm-ready-i-look-and/6225388601.html
2017-08-09 07:11:00,1200.0,775.0,2.0,Vintage Updated 2 bdrm Nestled in Avaiation Park. Avail Oct. 6th,/apa/d/vintage-updated-2-bdrm/6225371997.html
2017-08-09 07:11:00,1895.0,1498.0,3.0,3 bed 2 bath 1 car garage Showing Saturday 1112,/apa/d/3-bed-2-bath-1-car-garage/6234841937.html
2017-08-09 07:10:00,2750.0,2900.0,5.0,Yes You Rent and Can Own it,/apa/d/yes-you-rent-and-can-own-it/6239850936.html
2017-08-09 07:10:00,1100.0,700.0,1.0,Updated one bedroom close to Sloans Lake/Edgewater Call for tour,/apa/d/updated-one-bedroom-close-to/6223449320.html
2017-08-09 07:09:00,1399.0,1435.0,3.0,Rent to own Pine magnificent 3bed/2bth,/apa/d/rent-to-own-pine-magnificent/6256500804.html
2017-08-09 07:09:00,1950.0,1000.0,2.0,BAKER QUEEN ANNE VICTORIAN / 2 BED 1 BATH / FLEX LEASE / AVAIL SEPT 1,/apa/d/baker-queen-anne-victorian-2/6237908968.html
2017-08-09 07:09:00,2475.0,1800.0,4.0,DU / HARVARD PARK HISTORIC COTTAGE  FLEX LEASE  AVIAL 8/20,/apa/d/du-harvard-park-historic/6227766030.html
2017-08-09 07:06:00,1570.0,861.0,2.0,Broomfield / MINUTES to Boulder GREAT price easy Highway access,/apa/d/broomfield-minutes-to-boulder/6256527984.html
2017-08-09 07:05:00,1395.0,1061.0,2.0,Beautiful 2 bed/2bath condo  with heating included,/apa/d/beautiful-2-bed-2bath-condo/6253502069.html
2017-08-09 07:05:00,2045.0,1830.0,3.0,Beautiful ranch house for rent,/apa/d/beautiful-ranch-house-for-rent/6250518860.html
2017-08-09 07:03:00,1300.0,900.0,2.0,2bdrm flat MOVE IN READY 300 off MI Call for tour W/D Connections,/apa/d/2bdrm-flat-move-in-ready-300/6256523921.html
2017-08-09 07:02:00,1735.0,1380.0,3.0,UNBEATABLE DEALS 200 DEPOSIT CALL TODAY FOR MORE INFORMATION,/apa/d/unbeatable-deals-200-deposit/6238855883.html
2017-08-09 07:02:00,1428.0,1050.0,2.0,Full size apartment for rent,/apa/d/full-size-apartment-for-rent/6241040146.html
2017-08-09 07:00:00,2477.0,1545.0,3.0,Broomfield / Westminster  3 Bd 2 Ba GARAGE  Broomfield / Superior,/apa/d/broomfield-westminster-3-bd-2/6256492834.html
2017-08-09 07:00:00,1430.0,670.0,1.0,FEEL LIKE YOU ARE ON VACATION ALL TEAR AROUND ,/apa/d/feel-like-you-are-on-vacation/6252723369.html
2017-08-09 06:59:00,1441.0,750.0,1.0,RiNo River North art District INSANE price includes a Parking spot,/apa/d/rino-river-north-art-district/6256519060.html
